match_id,season,venue,innings,batting_team,bowling_team,toss_winner,toss_decision,match_winner,powerplay_runs,powerplay_wickets,powerplay_run_rate,powerplay_sixes,powerplay_fours,powerplay_dot_balls,powerplay_extras,final_total,total_wickets,total_sixes,total_fours,total_balls
1076008,2016/17,Dubai International Cricket Stadium,1,Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,47,0,7.83,1,7,17,1,181,3,9,13,121
1076008,2016/17,Dubai International Cricket Stadium,2,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,23,3,3.83,1,1,23,3,157,7,9,9,128
1076009,2016/17,Gaddafi Stadium,1,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,52,1,8.67,1,7,17,6,148,6,6,13,125
1076009,2016/17,Gaddafi Stadium,2,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,field,Peshawar Zalmi,31,4,5.17,0,5,21,0,90,10,0,9,100
1128818,2017/18,Dubai International Cricket Stadium,1,Peshawar Zalmi,Multan Sultans,Multan Sultans,field,Multan Sultans,29,2,4.83,0,4,26,7,151,6,6,13,125
1128818,2017/18,Dubai International Cricket Stadium,2,Multan Sultans,Peshawar Zalmi,Multan Sultans,field,Multan Sultans,43,1,7.17,1,5,21,8,152,3,5,12,118
1128819,2017/18,Dubai International Cricket Stadium,1,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,39,1,6.5,0,3,11,5,149,9,2,14,122
1128819,2017/18,Dubai International Cricket Stadium,2,Quetta Gladiators,Karachi Kings,Karachi Kings,bat,Karachi Kings,26,3,4.33,0,4,25,1,130,9,2,12,121
1128820,2017/18,Dubai International Cricket Stadium,1,Multan Sultans,Lahore Qalandars,Lahore Qalandars,field,Multan Sultans,53,0,8.83,1,4,13,11,179,5,7,13,123
1128820,2017/18,Dubai International Cricket Stadium,2,Lahore Qalandars,Multan Sultans,Lahore Qalandars,field,Multan Sultans,40,2,6.67,2,2,19,3,136,10,7,8,108
1128821,2017/18,Dubai International Cricket Stadium,1,Peshawar Zalmi,Islamabad United,Islamabad United,field,Peshawar Zalmi,57,0,9.5,3,8,19,1,176,6,7,16,123
1128821,2017/18,Dubai International Cricket Stadium,2,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,38,4,6.33,1,4,18,1,142,9,3,15,123
1128822,2017/18,Dubai International Cricket Stadium,1,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,61,3,10.17,4,7,17,1,119,9,7,8,121
1128822,2017/18,Dubai International Cricket Stadium,2,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Quetta Gladiators,41,0,6.83,2,4,21,2,120,1,8,8,86
1128823,2017/18,Dubai International Cricket Stadium,1,Multan Sultans,Islamabad United,Islamabad United,field,Islamabad United,24,3,4.0,0,3,22,0,113,10,3,7,120
1128823,2017/18,Dubai International Cricket Stadium,2,Islamabad United,Multan Sultans,Islamabad United,field,Islamabad United,39,2,6.5,0,7,21,3,117,5,3,12,108
1128824,2017/18,Dubai International Cricket Stadium,1,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,bat,Karachi Kings,37,2,6.17,1,5,22,2,131,9,7,9,127
1128824,2017/18,Dubai International Cricket Stadium,2,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,bat,Karachi Kings,46,1,7.67,1,6,16,2,135,5,4,12,123
1128825,2017/18,Dubai International Cricket Stadium,1,Karachi Kings,Lahore Qalandars,Karachi Kings,bat,Karachi Kings,39,3,6.5,1,6,21,0,159,7,7,12,125
1128825,2017/18,Dubai International Cricket Stadium,2,Lahore Qalandars,Karachi Kings,Karachi Kings,bat,Karachi Kings,68,1,11.33,2,7,8,8,132,10,3,12,119
1128826,2017/18,Sharjah Cricket Stadium,1,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,52,2,8.67,1,6,13,1,134,7,4,9,128
1128826,2017/18,Sharjah Cricket Stadium,2,Quetta Gladiators,Islamabad United,Quetta Gladiators,field,Quetta Gladiators,48,3,8.0,1,7,16,2,135,4,6,11,110
1128827,2017/18,Sharjah Cricket Stadium,1,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,31,1,5.17,1,3,21,0,141,8,7,7,122
1128827,2017/18,Sharjah Cricket Stadium,2,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Peshawar Zalmi,47,1,7.83,1,8,21,3,143,5,5,13,123
1128829,2017/18,Sharjah Cricket Stadium,1,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,No result,25,2,4.17,0,3,21,0,121,9,4,8,123
1128829,2017/18,Sharjah Cricket Stadium,2,Lahore Qalandars,Islamabad United,Lahore Qalandars,field,No result,39,2,6.5,0,8,23,0,121,10,4,11,120
1128829,2017/18,Sharjah Cricket Stadium,3,Lahore Qalandars,Islamabad United,Lahore Qalandars,field,No result,15,1,2.5,2,0,2,0,15,1,2,0,6
1128829,2017/18,Sharjah Cricket Stadium,4,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,No result,19,0,3.17,2,1,1,1,19,0,2,1,7
1128830,2017/18,Sharjah Cricket Stadium,1,Quetta Gladiators,Multan Sultans,Multan Sultans,field,Multan Sultans,42,2,7.0,1,3,19,11,102,10,3,6,100
1128830,2017/18,Sharjah Cricket Stadium,2,Multan Sultans,Quetta Gladiators,Multan Sultans,field,Multan Sultans,37,0,6.17,0,6,21,4,108,1,2,10,103
1128831,2017/18,Sharjah Cricket Stadium,1,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,bat,Peshawar Zalmi,53,1,8.83,4,5,20,2,100,10,5,7,110
1128831,2017/18,Sharjah Cricket Stadium,2,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,bat,Peshawar Zalmi,41,0,6.83,1,6,20,2,104,0,2,11,86
1128832,2017/18,Sharjah Cricket Stadium,1,Karachi Kings,Islamabad United,Islamabad United,field,Islamabad United,32,1,5.33,0,5,20,0,153,6,4,15,121
1128832,2017/18,Sharjah Cricket Stadium,2,Islamabad United,Karachi Kings,Islamabad United,field,Islamabad United,61,0,10.17,3,7,12,2,156,2,4,19,106
